,ts,record_id,market_index,peg_multiplier_before,base_asset_reserve_before,quote_asset_reserve_before,sqrt_k_before,peg_multiplier_after,base_asset_reserve_after,quote_asset_reserve_after,sqrt_k_after,base_asset_amount_long,base_asset_amount_short,base_asset_amount,open_interest,total_fee,total_fee_minus_distributions,adjustment_cost
2021-12-12 02:47:41.223456,2021-12-11 21:29:05-05:00,115,0,233950,423233168625772186,306938322917026533,360425413894266904,233950,427465500269706590,310007706115502966,364029668033209573,27747761113096802,46324940124059072,-18577179010962270,549,103102741599,81151786996,149774790
2021-12-12 02:47:41.223456,2021-12-11 21:30:13-05:00,116,2,4320000,13767526496841120,12886471775196377,13319716273848004,4320000,13905201760432778,13015336491659693,13452913436586484,744793339437427,1353675647144712,-608882307707285,283,23269719824,16149825754,117961920
2021-12-12 02:47:41.223456,2021-12-11 21:43:39-05:00,117,3,63127,446281014537072453,414516857666695808,430105805334236642,63127,488677710873466234,453895959103580223,470965856840989122,47133739347259256,49662018964124611,-2528279616865355,75,9805214307,20712176639,7365279
2021-12-12 02:47:41.223456,2021-12-11 21:45:06-05:00,118,3,63127,488487450955778197,454072746139075281,470965856840989122,63127,534893758747728380,497209656976880158,515707613240883088,47135444225792933,49473463924970251,-2338019699177318,75,9806330310,20707543793,5748849
2021-12-12 02:47:41.223456,2021-12-11 21:45:19-05:00,119,3,63127,534897167813560713,497206488196077113,515707613240883088,63127,534897167813560713,497206488196077113,515707613240883088,47133739347259256,49475168112268907,-2341428765009651,75,9806350313,20707563796,0
2021-12-12 02:58:01.054755,2021-12-11 21:48:14-05:00,120,4,86706,610212955856846532,600812389474244441,605494429451249047,86706,668183186602225656,657889566414216423,663016400249117706,6163443095263421,10578713939639577,-4415270844376156,23,3607448600,3092950590,23991897
2021-12-12 02:58:01.054755,2021-12-11 21:49:23-05:00,121,3,63127,534889840406977080,497213299381894853,515707613240883088,63127,585704375192150918,544448562773453534,564699836498766981,47133739347259256,49467840705685274,-2334101358426018,75,9807529313,20703514555,5228241
2021-12-12 03:29:14.059555,2021-12-11 22:22:42-05:00,122,3,63127,584342839042199828,545717144175878214,564699836498766981,63127,642192780048943327,599743141394718442,620605120312144912,47142263844282393,48114829052757321,-972565208474928,77,9835603155,20729534416,861684
2021-12-12 03:29:14.059555,2021-12-11 22:22:59-05:00,123,3,63127,642192780048943327,599743141394718442,620605120312144912,63127,642192780048943327,599743141394718442,620605120312144912,47142263844282393,48114829052757321,-972565208474928,77,9835603155,20729534416,0
2021-12-12 03:29:14.059555,2021-12-11 22:24:22-05:00,124,3,63127,641879976999869567,600035410292491684,620605120312144912,63127,705426094658668656,659438915851444819,682045027223047258,47142263844282393,47802026003683561,-659762159401168,77,9837488159,20731058965,360455
