,ts,record_id,user_authority,user,partial,base_asset_value,base_asset_value_closed,liquidation_fee,fee_to_liquidator,fee_to_insurance_fund,liquidator,total_collateral,collateral,unrealized_pnl,margin_ratio
2021-12-13 21:16:37.670755,2021-12-13 16:10:48-05:00,936,GKNBtZbwK4w9hyXD1r38NTGcTJhpjt8R9WFCzdXup9Tk,7RLaL2XoFuqrcCcPEB6FzPJzLnAhjQpwcRmDfdpRXFgB,True,1180469485,295117371,1833457,916728,916729,3RdfgDvLvsdZG5Cf6hKiKMQMqfidyxHzjYvUx1FZpeHQ,73338281,316818166,-243479885,621
2021-12-13 21:16:37.670755,2021-12-13 16:12:21-05:00,937,72L76qDRMK3M7X52zuuB9GVyvFFLDBZwFMpVjWjghXzA,4m2ZVuemUctu1edv4YJVAcjXzKwpbCmBujzoUmLDeA7h,True,36253185,9063296,56234,28117,28117,3RdfgDvLvsdZG5Cf6hKiKMQMqfidyxHzjYvUx1FZpeHQ,2249397,8521103,-6271706,620
2021-12-13 21:29:32.973461,2021-12-13 16:20:24-05:00,938,Cv5oVktxmqbU1SxraxH67NEWMKnjgA18R832Fhe9h74a,Cs7xBD4BDiohyopnaYDDChUtR9vmx7uwot6Qp9beQLzt,True,31088322,7772080,48362,24181,24181,3RdfgDvLvsdZG5Cf6hKiKMQMqfidyxHzjYvUx1FZpeHQ,1934480,7425204,-5490724,622
2021-12-13 23:55:30.441757,2021-12-13 18:52:14-05:00,939,F4hN7ecndZ8Gr5KQNSFaSrMGawMasz7jfWTLTMpk7gaB,AJ23FpXSGjipcqywk88WGsKfqfiiUjPzZLsvLtBAhB12,True,154416090,38604022,239541,119770,119771,4BnQKPLuE3DMTtxp8MjUBytgnhvxqq3ZTqZHTVZo4JJh,9581662,38315113,-28733451,620
2021-12-14 00:20:25.201802,2021-12-13 19:00:51-05:00,940,34235h7L3VPHqcUkLycAsaJAXyq4vtgoG27yei34CKaj,Bg6WtWMQXGBakzrizVhBrE1X2hafMHBtktn3YYjeyscf,True,301006517,75251629,470530,235265,235265,3RdfgDvLvsdZG5Cf6hKiKMQMqfidyxHzjYvUx1FZpeHQ,18821205,120858829,-102037624,625
2021-12-14 06:35:08.106151,2021-12-14 01:29:17-05:00,941,Dn916KSmX3HqxT53hrxrbCrV3tdRMCPdaoiRLqetMrth,ATCXRiXgnjRRUbSTPBvtBXMENCqsViexSZbZ6aDaXXWA,True,45356458,11339114,69744,34872,34872,3RdfgDvLvsdZG5Cf6hKiKMQMqfidyxHzjYvUx1FZpeHQ,2789769,10685864,-7896095,615
2021-12-14 06:35:08.106151,2021-12-14 01:29:19-05:00,942,G25vsB3sDqRhHoSK4KwR1TywfrJDtpejVbbevEG9sQ9a,5xFC3Hm13magnAA9GD1EnwC9PrPoEfQ7omEa9p9zCrB1,True,58887251,14721812,90921,45460,45461,3RdfgDvLvsdZG5Cf6hKiKMQMqfidyxHzjYvUx1FZpeHQ,3636867,12174726,-8537859,617
2021-12-14 19:08:14.224755,2021-12-14 13:58:54-05:00,943,J1sBDjpdBZcsSBS5eg95SSRjRqmQUR9cXJCsLJu8yCUt,F5wRpD2senMkGbL8Uquqo8W9x5NQDDa268dHuVFAZCww,True,124840404,31210101,193397,96698,96699,3RdfgDvLvsdZG5Cf6hKiKMQMqfidyxHzjYvUx1FZpeHQ,7735897,34645646,-26909749,619
2021-12-15 15:52:43.179599,2021-12-15 10:51:38-05:00,944,6wYw2tQWSj6YzrPL8s5ZVp4pKnX4tUdovt8wzUCyoWfs,DCuvqHhUwZiZ2XZGyxPREjEA5WQZNwuV9eAcFMEeS3a5,True,913485600,228371400,1409995,704997,704998,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,56399826,231564808,-175164982,617
2021-12-15 15:52:43.179599,2021-12-15 10:52:06-05:00,945,9WJBnVi84E926j7xEd566WzrZJkPJWRgmEnYj9vyjuad,4dLaFS5F7TGyLdwuJLMGkz3bSL53aHzd9ZfpNmhHxXeF,True,1042701120,260675280,1629716,814858,814858,3RdfgDvLvsdZG5Cf6hKiKMQMqfidyxHzjYvUx1FZpeHQ,65188643,234151459,-168962816,625
2021-12-15 15:52:43.179599,2021-12-15 10:52:07-05:00,946,3EkaWW2WfpdRsgX7KF2DxjW4DA5qyvHMRtUNrea7c5Bk,B9JxYbj471pp49bkZic3LWfWFVT75oJd3UzMcysYitdg,True,50742720,12685680,78791,39395,39396,3RdfgDvLvsdZG5Cf6hKiKMQMqfidyxHzjYvUx1FZpeHQ,3151649,12148994,-8997345,621
2021-12-15 15:59:13.283953,2021-12-15 10:58:46-05:00,947,3VdSA9CED9f5swRwHX2U15U7J6Muaq8VPnCNy9CaGDHe,2YYstfnfdYic5NWmEbcUEHpccNUVd1EhuCkExvMsoMk8,True,338549760,84637440,523079,261539,261540,3RdfgDvLvsdZG5Cf6hKiKMQMqfidyxHzjYvUx1FZpeHQ,20923172,96890588,-75967416,618
2021-12-15 15:59:13.283953,2021-12-15 10:58:46-05:00,948,9KD2AifD5wFD4QkHYuawXbJgLWHrfj2QPF3fT8jhGVA5,Ga9gAqmkuHbqrr31sUFPqa1xa5WNxLWJWGPUaMxQqLdj,True,65715840,16428960,101215,50607,50608,3RdfgDvLvsdZG5Cf6hKiKMQMqfidyxHzjYvUx1FZpeHQ,4048622,19204776,-15156154,616
2021-12-15 15:59:13.283953,2021-12-15 10:58:46-05:00,949,5Rxuqgs4CaSKbfDXqBMFXkLTQ9dxrUjThXzoy3ouYVtK,BgvbKru66ebrGUcFFymGTmsaQv6GgcGMybiWaXqzBtwX,True,10458720,2614680,16345,8172,8173,3RdfgDvLvsdZG5Cf6hKiKMQMqfidyxHzjYvUx1FZpeHQ,653818,3247619,-2593801,625
2021-12-15 20:31:22.292300,2021-12-15 15:28:50-05:00,950,FL1C5wMXApaNzez9LFMAiFYVFiLSRQxgZ3GfPrscdvRB,2FkYGYyTzbTFjJBiggre23H7TvqHjzBTdyrzQ5VNGqht,True,32519,8129,49,24,25,3RdfgDvLvsdZG5Cf6hKiKMQMqfidyxHzjYvUx1FZpeHQ,1994,6325,-4331,613
2021-12-15 20:31:22.292300,2021-12-15 15:29:39-05:00,951,FL1C5wMXApaNzez9LFMAiFYVFiLSRQxgZ3GfPrscdvRB,2FkYGYyTzbTFjJBiggre23H7TvqHjzBTdyrzQ5VNGqht,False,25968,25968,367,18,349,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,367,4192,-3825,141
2021-12-15 20:47:56.783917,2021-12-15 15:44:59-05:00,952,9VJgwPsqmUEKHFXGJzfETNaH4XqTgcYzNkNZ5H481UEK,BVvRsDTNQik8oUbqLxtsQLYxrAkZdSKKjrhVtyDT6sCw,True,39519769,9879942,57895,28947,28948,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,2315815,6948553,-4632738,585
2021-12-15 20:47:56.783917,2021-12-15 15:44:59-05:00,953,J5ttoY9YjAuVvggkCeps9sX7ivUWoqps5DzxjfgqddxT,mR1fxSNP4bX9GyzRS1UFLpHg31UAXwB8Du7dydCa7VR,True,33673125,8418281,50079,25039,25040,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,2003178,5925543,-3922365,594
2021-12-15 21:01:06.105679,2021-12-15 15:56:22-05:00,954,F9HRMjUNMmiSdUYrXrV1eUGHpm5x1fFc7Ef5JXdThUub,GKhiMaAWFaUyUAyWyzStHAWqcEfN1EPgVJ9rJ1cyktL,True,5649190,1412297,8723,4361,4362,GmqQKnMfFxkv6ChqGaZ2wmSFDow7R1x7WeRfU58GVvfw,348931,998626,-649695,617
2021-12-16 10:17:12.555279,2021-12-16 05:07:49-05:00,955,D67X2HKszEB1VYeaHGsBo4uCzMTFSg8i3CabjeJmDUv7,422YiGvHrcXU1HQruML68rXqpaEcvvrVcZPnUNrfxdze,True,887859,221964,1386,693,693,3RdfgDvLvsdZG5Cf6hKiKMQMqfidyxHzjYvUx1FZpeHQ,55456,162033,-106577,624
