,ts,record_id,user_authority,user,direction,collateral_before,cumulative_deposits_before,amount
2022-01-10 15:40:19.144163,2022-01-10 10:39:46-05:00,17117,BtFz3n6nTr8HWKTRXMUQytiS1mtchTGYseGF6dwy2WBU,EZkgDN6gantyvKfCRuBNkYykfQiYa6tbPvvnKLh1RbHS,DepositDirection.DEPOSIT(),0,0,50100000000
2022-01-10 15:55:03.940126,2022-01-10 10:42:37-05:00,17118,A2HGni6R2NbypSzdh59T6Mm4kVNAbM4fJLSnS4obxYVL,72mqYVyi3n7nVZcJwjPtb9K5vbxoT8idfsQw7At9sRuk,DepositDirection.DEPOSIT(),0,0,92000000
2022-01-10 15:55:03.940126,2022-01-10 10:49:52-05:00,17119,4EoUCi6SK8hsNbwANugsaRhV7eTncy2h32W6FHY5Rsq3,3bHQAhGKGefGWokJUQgWieDa5UX1zNAUnpSADrzjeZ1J,DepositDirection.DEPOSIT(),7187,-19020000,434000000
2022-01-10 15:55:03.940126,2022-01-10 10:53:28-05:00,17120,AjWmfCCEM7udUFVZh7GB9sYFN62LSZFg84XB7KiKPf5k,FoGyskkx9z3kotsQcLJhGUgzqJZZ9P4ehFVXF8axJ1hF,DepositDirection.DEPOSIT(),0,0,299000000
2022-01-10 16:02:20.852399,2022-01-10 11:00:06-05:00,17121,C21232Uu2r4AmbR3mzrEKF5ZHoFDZbCmy88x8u6cLyZV,8sppny1HRFKX6LuqT6KDn1x9wS7z61K9V5akSuAimxgS,DepositDirection.DEPOSIT(),2717,17050000,1000000000
2022-01-10 16:19:19.181633,2022-01-10 11:10:49-05:00,17122,64FTiXC7TMipCD78vggwPJP8eqEiL2H2MMAUa11A6N1b,2HZGQ9qPEYrH749sJaqLjyKzrMbW4fFpCZ4oKxx8maSS,DepositDirection.DEPOSIT(),0,0,30000000
2022-01-10 16:19:19.181633,2022-01-10 11:15:59-05:00,17123,8cRrU1NzNpjL3k2BwjW3VixAcX6VFc29KHr4KZg8cs2Y,6KhaewfwKyT5fkQvfiDqKzGWEPbuP9H5NfxEUXVx14U4,DepositDirection.DEPOSIT(),395090027,650000000,67000000
2022-01-10 16:19:19.181633,2022-01-10 11:16:10-05:00,17124,BFZiaPZ67GDK55op7V1RrXjXyH9TawyFiaRG1pAvLZb4,FnaHYMaxZT2hKuUgQYrKDpXUfayfBJuo5nvFXZYKjNMP,DepositDirection.WITHDRAW(),15041785770,15820940000,2000000000
2022-01-10 16:19:19.181633,2022-01-10 11:18:54-05:00,17125,2yH4iJWVSDWHGjm5J95sbsRbHGA81VNPaox8xz8DWQaG,EHUYNPTqdUDGi3TBrr5BjDByCzLKq27CECCFUNyGRbQR,DepositDirection.WITHDRAW(),11231920185,10000000000,11231920000
2022-01-10 16:55:53.243388,2022-01-10 11:22:06-05:00,17126,5SeNtCBx15SLG7VHKh1g5Ntj3pBUvo5ik1RBMz6uWsD7,DNRyxQcKJ55jxkRNQmSAgw8unUwuqvEr8fHP3YegDKZq,DepositDirection.DEPOSIT(),11831711349,8136915124,3458908831
